city,name,street,tags,zipcode,full_address,latlon,missing
Brussel,Bombay Inn,Greepstraat 38,"['Eethuis', 'EVA voordeel']",1000,Greepstraat 38 1000 Brussel,"(50.84868071551028, 4.353345325113805)",False
Nazareth,Bonaparte,Steenweg 231,['Eethuis'],9810,Steenweg 231 9810 Nazareth,"(50.96483423402093, 3.6515210762002246)",False
Antwerpen,Bonnie + Frø,Lange Koepoortstraat 2/403,['Cateraar'],2000,Lange Koepoortstraat 2/403 2000 Antwerpen,"(51.22260007555398, 4.402352292031972)",False
Brussel,Bonsoir Clara,Dansaertstraat 22,['Eethuis'],1000,Dansaertstraat 22 1000 Brussel,"(50.851025577687416, 4.344724801138332)",False
 Brugge,Books & Brunch,Garenmarkt 30,['Eethuis'],8000,Garenmarkt 30 8000  Brugge,"(51.20439256866853, 3.229364025893704)",False
Ronse,Boon,Sint Martensstraat 7,['Eethuis'],9600,Sint Martensstraat 7 9600 Ronse,"(50.75282662062917, 3.6033879748722746)",False
 Heist- op- den- Berg ( Hallaar),Boshuis Averegten,Boonmarkt 12,['Eethuis'],2220,Boonmarkt 12 2220  Heist- op- den- Berg ( Hallaar),"(51.089730634410415, 4.708057820687655)",False
Oostende,Bottarga,Albert I Promenade 64c,['Eethuis'],8400,Albert I Promenade 64c 8400 Oostende,"(51.233705722674465, 2.917215242469248)",False
Westouter,Bourgondie,Bellestraat 21,['Eethuis'],8954,Bellestraat 21 8954 Westouter,"(50.79101740974222, 2.745757223683968)",False
Genk,Brasserie 360,Stadsplein 16,['Eethuis'],3600,Stadsplein 16 3600 Genk,"(50.96528693810857, 5.496655941658058)",False
Oostende,Brasserie Buyl,A. Buylstraat 44B,['Eethuis'],8400,A. Buylstraat 44B 8400 Oostende,,True
Aalst,Brasserie Het Element,Korte Zoutstraat 6v,['Eethuis'],9300,Korte Zoutstraat 6v 9300 Aalst,"(50.93604835588348, 4.03938341814389)",False
Oud-Heverlee,Brasserie St-Jean,Waversebaan 157,['Eethuis'],3050,Waversebaan 157 3050 Oud-Heverlee,"(50.823739665780934, 4.653125760166389)",False
Aalst,Brasseur,Parklaan 62,['Eethuis'],9300,Parklaan 62 9300 Aalst,"(50.92776627746473, 4.03517422595287)",False
Ukkel,Brother and sister,Rue Edith Cavell 178,"['Cateraar', 'Snack']",1180,Rue Edith Cavell 178 1180 Ukkel,"(50.809145087626455, 4.35740127357715)",False
Antwerpen,Burgerij,Sint-Laureiskaai 8,['Eethuis'],2000,Sint-Laureiskaai 8 2000 Antwerpen,"(51.229978903931446, 4.404433550038374)",False
